apartment_name,phone_number,price_range,bedroom_types,address
Tropicana Student Housing,805-892-6387,$936-$2615,2-3 Beds|2 Bath,811 Camino Pescadero Goleta CA 93117
Breakpointe Coronado,305-324-7195,$1190-$3750,Studio-4 Beds|1-3 Bath,672 Abrego Road Goleta CA 93117
The Meadows Apartments,null,$2100,null,6753 Abrego Rd Goleta CA 93117
Pacific Oaks,null,$2935-$4035,1-2 Beds|1 Bath,7170 Davenport Rd Goleta CA 93117
Patterson Place,877-560-3970,$2992-$4907,null,120 S Patterson Ave Santa Barbara CA 93111
Wakefield Apartments,805-456-2672,$6200,4 Beds|2.5 Bath,624 Wakefield Rd Goleta CA 93117
El Embarcadero Apartments,805-308-7170,$6750,2 Beds|1 Bath,1025 El Embarcadero Rd Goleta CA 93117
Abrego Road Apartments,805-570-2288,$11000,5 Beds|3 Bath,6767 Abrego Rd Goleta CA 93117
Kestrel Lane Apartments,null,$13500,3 Beds|5 Bath,000 Kestrel Ln Goleta CA 93117
Tropicana Student Housing,805-892-6387,$936-$2615,2-3 Beds/2 Bath,811 Camino Pescadero Goleta CA 93117
Breakpointe Coronado,305-324-7195,$1190-$3750,Studio-4 Beds/1-3 Bath,672 Abrego Road Goleta CA 93117
The Meadows Apartments,null,$2100,null,6753 Abrego Rd Goleta CA 93117
Pacific Oaks,null,$2935-$4035,1-2 Beds/1 Bath,7170 Davenport Rd Goleta CA 93117
Patterson Place,877-560-3970,$2992-$4907,null,120 S Patterson Ave Santa Barbara CA 93111
Wakefield Apartments,805-456-2672,$6200,4 Beds/2.5 Bath,624 Wakefield Rd Goleta CA 93117
El Embarcadero Apartments,805-308-7170,$6750,2 Beds/1 Bath,1025 El Embarcadero Rd Goleta CA 93117
Abrego Road Apartments,805-570-2288,$11000,5 Beds/3 Bath,6767 Abrego Rd Goleta CA 93117
Kestrel Lane Apartments,null,$13500,3 Beds/5 Bath,000 Kestrel Ln Goleta CA 93117
Tropicana Student Housing,805-892-6387,$936 - $2615,2-3 Beds|2 Bath,null
